genre_ids,id,original_language,overview,poster_path,release_date,title,keyword,movie_out
"[28, 53, 80]",13387,en,"Frank Martin puts the driving gloves on to deliver Valentina, the kidnapped daughter of a Ukranian government official, from Marseilles to Odessa on the Black Sea. En route, he has to contend with thugs who want to intercept Valentina's safe delivery and not let his personal feelings get in the way of his dangerous objective.",/o4w9VF3GRZuXe9NHHvZ07pJespl.jpg,2008-11-26,Transporter 3,"[779, 6149, 627, 703, 9673, 11148, 12371, 210432, 219404]",False
"[14, 28, 53]",400106,en,"In an alternate present-day where magical creatures live among us, two L.A. cops become embroiled in a prophesied turf battle.",/whkT53Sv2vKAUiknQ13pqcWaPXB.jpg,2017-12-22,Bright,"[6149, 606, 603, 2343, 2710, 12670]",False
"[53, 878, 18, 27]",333371,en,"After a catastrophic car crash, a young woman wakes up in a survivalist's underground bunker, to claims that he saved her from an apocalyptic attack.",/84Dhwz93vCin6T1PX6ctSvWEuNE.jpg,2016-03-10,10 Cloverfield Lane,"[1930, 2340, 2321, 9866, 10833, 12332, 13063, 15381]",False
"[18, 10752]",86493,de,"In the last days of WW2, women are volunteering from all over Germany to serve in the front lines by having sex with the brave Nazi soldiers. But when they start having sex with each other, things get complicated. Especially with the increasing danger from the revengeful Soviet army!",/qbH4t4n1xr04ry8GiLCIRCUTRYD.jpg,1973-08-23,She Devils of the SS,"[2652, 11192]",False
"[28, 27, 878]",36648,en,"For years, Blade has fought against the vampires in the cover of the night. But now, after falling into the crosshairs of the FBI, he is forced out into the daylight, where he is driven to join forces with a clan of human vampire hunters he never knew existed—The Nightstalkers. Together with Abigail and Hannibal, two deftly trained Nightstalkers, Blade follows a trail of blood to the ancient creature that is also hunting him—the original vampire, Dracula.",/6f7iXvPOnf83MaLB1JmPzUor1rr.jpg,2004-12-08,Blade: Trinity,"[779, 697, 3133, 1812, 9715, 6152, 5572, 9717, 9259, 14731, 14735, 14926, 40884, 163074, 232469, 269233, 325845]",False
"[16, 12, 10751, 14]",116711,en,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world—and ours.,/81cSsWzjTfR3cJSqnTiHwy1eyPK.jpg,2013-05-15,Epic,"[5600, 3289, 5905, 5774, 18330, 159075]",False
"[18, 878, 9648]",2103,en,A troubled psychologist is sent to investigate the crew of an isolated research station orbiting a bizarre planet.,/drdrB1hEZmzFlK1xtW5HMxK3LUJ.jpg,2002-11-27,Solaris,"[1565, 818, 697, 402, 3298, 3801, 9872, 9882, 11268, 14626, 156039, 161348]",False
[18],13223,en,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",/zUybYvxWdAJy5hhYovsXtHSWI1l.jpg,2008-12-12,Gran Torino,"[570, 1543, 3149, 1900, 10938, 10093, 10726, 18021, 33476, 198536]",False
"[80, 18, 27, 53]",8643,en,"When a younger girl called Emily Rose dies, everyone puts blame on the exorcism which was performed on her by Father Moore prior to her death. The priest is arrested on suspicion of murder. The trial begins with lawyer Erin Bruner representing Moore, but it is not going to be easy, as no one wants to believe what Father Moore says is true.",/qMN0HIP34f736kkQcfvTfmL9TP3.jpg,2005-09-09,The Exorcism of Emily Rose,"[6148, 1944, 9712, 9672, 11038, 10093, 10809, 13153, 41277, 41511, 49950, 154904, 161207, 172670, 172683, 172684, 172694, 172695, 172699]",False
"[12, 28, 53]",658,en,"Special agent 007 comes face to face with one of the most notorious villains of all time, and now he must outwit and outgun the powerful tycoon to prevent him from cashing in on a devious scheme to raid Fort Knox -- and obliterate the world's economy.",/hsHVGBINg9bactVjE91wFBgd51J.jpg,1964-09-20,Goldfinger,"[3800, 818, 392, 3272, 2702, 3271, 3275, 3286, 3287, 3288, 3290, 3291, 3293, 14555, 156095, 179431]",False
"[18, 28]",59440,en,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament – a path that puts the fighter on a collision course with his estranged, older brother.",/iM8n4nZJPR2abpnyZ36FUgHiRjr.jpg,2011-09-09,Warrior,"[974, 4613, 9849, 9917, 10508, 14666, 18543, 33457, 33610, 33611, 193594]",False
"[18, 14, 10749]",556694,en,"A solitary scholar discovers an ancient bottle while on a trip to Istanbul and unleashes a djinn who offers her three wishes. Filled with reluctance, she is unable to come up with one, so the djinn tries to inspire her with his stories.",/wdiUSKO0kebySOrHBVoDp7CLHIO.jpg,2022-08-24,Three Thousand Years of Longing,"[2035, 4115, 9792, 33513, 47020, 170731, 190536, 191018, 206584, 208584, 233606, 244145, 258565, 324429]",False
"[28, 27, 878]",988591,en,"After a violent thunderstorm scares a house party, the guests flee to a nearby home for shelter.. only to discover, a more sinister hand is at play.. Now, they can't escape the strangers home due to the thunderstorm, but they can't stay inside due to the danger that follows them.",/eD2lTDAkD9ehTJtypX24jTnt0hQ.jpg,2022-12-05,Mega Lightning,[952],False
"[18, 35]",20453,hi,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",/66A9MqXOyVFCssoloscw79z8Tew.jpg,2009-12-23,3 Idiots,"[236, 1252, 3616, 9253, 10683, 9713, 10160, 162177]",False
"[27, 9648]",964592,ko,"Hyun-su and Soo-jin are newlyweds. Seemingly out of nowhere, he starts talking in his sleep. “Someone’s inside.” From that night on, whenever he falls asleep, he transforms into someone else with no recollection of what happened the night before. Soo-jin is overwhelmed with anxiety that he’d hurt her family while she sleeps and can barely sleep a wink because of this irrational fear. Despite sleep treatment, Hyun-su’s sleepwalking only intensifies, and she begins to feel that her unborn child may be in danger…",/b4d90lpmSTLoCP9tkBU7QAQOhh0.jpg,2023-09-06,Sleep,"[2587, 2116, 179878]",False
"[10751, 12, 14]",1020969,no,"While visiting a Christmas market in her Norwegian town, eight year old Mariann spots a talking teddy bear at a carnival game booth. However, when someone else wins it, she embarks on a quest to find the adorable bear that captured her heart.",/jEf96axaZhZQEu9ORVtEujBTG9p.jpg,2022-11-05,Teddy's Christmas,"[158162, 187056, 207317]",False
"[53, 80, 18]",98357,en,"In a broken city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure, the mayor. Billy's relentless pursuit of justice, matched only by his streetwise toughness, makes him an unstoppable force - and the mayor's worst nightmare.",/hqa5FwNZC55zqSpdeGFtBDqw55y.jpg,2013-01-18,Broken City,"[6078, 1919, 5340, 8440, 9748, 10476, 155790]",False
"[12, 14]",68737,en,"John Gregory, who is a seventh son of a seventh son and also the local spook, has protected the country from witches, boggarts, ghouls and all manner of things that go bump in the night. However John is not young anymore, and has been seeking an apprentice to carry on his trade. Most have failed to survive. The last hope is a young farmer's son named Thomas Ward. Will he survive the training to become the spook that so many others couldn't?",/7Q8DfXSjcFSSQDOxz1Sk865wNqI.jpg,2014-12-12,Seventh Son,"[818, 2343, 4238, 177894, 177895, 177901, 234213, 246466]",False
"[36, 18]",369972,en,"A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",/i91mfvFcPPlaegcbOyjGgiWfZzh.jpg,2018-10-10,First Man,"[305, 818, 2858, 1432, 4183, 1523, 3801, 4040, 5565, 5721, 9672, 7422, 9882, 10163, 14626, 159289, 164881, 174491, 190444, 208992, 226233]",False
"[12, 35, 14]",353486,en,"Four teenagers in detention discover an old video game console with a game they’ve never heard of. When they decide to play, they are immediately sucked into the jungle world of Jumanji in the bodies of their avatars. They’ll have to complete the adventure of their lives filled with fun, thrills and danger or be stuck in the game forever!",/pSgXKPU5h6U89ipF7HBYajvYt7j.jpg,2017-12-09,Jumanji: Welcome to the Jungle,"[282, 6211, 9663, 15299, 157155, 165317, 173374, 207372, 214527, 219404, 237523, 246466]",False
"[12, 14, 10751]",736790,en,"While visiting family in Mexico, a lonely boy befriends a mythical creature hiding on his grandfather's ranch and embarks on the adventure of a lifetime.",/ra3xm8KFAkwK0CdbPRkfYADJYTB.jpg,2023-04-07,Chupa,"[3754, 10683, 9955, 208136, 254508]",False
[35],862551,en,"With his family away, a devoted stay-at-home dad enjoys his first me time in years by joining his hard-partying old friend on a wild birthday adventure.",/bkjPoisqAavXUvtoirxTEcLLQyI.jpg,2022-08-26,Me Time,"[5501, 167541]",False
"[16, 18, 9648, 14]",942881,ja,"Shy outcast Kokoro has been avoiding school for weeks when she discovers a portal in her bedroom mirror. She reaches through and finds herself transported to an enchanting castle where she is joined by six other students. When a girl in a wolf mask explains that they have been invited to play a game, the teens must work together to uncover the mysterious connection that unites them. However, anyone who breaks the rules will be eaten by a wolf.",/cPV2etoFUkgQLWqKduWxXAeP4Oe.jpg,2022-12-23,Lonely Castle in the Mirror,"[818, 10349, 195668, 208251, 210024, 311315, 325811, 325842]",False
"[18, 28, 14]",64686,en,"Kai—an outcast—joins Oishi, the leader of 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honour to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",/xDHnmcroujCRG0ysYQaiswjbyHd.jpg,2013-12-06,47 Ronin,"[236, 233, 1462, 9672, 9748, 18098, 155198, 155242, 183528]",False
"[18, 53, 80]",64690,en,"Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery.",/602vevIURmpDfzbnv5Ubi6wIkQm.jpg,2011-09-15,Drive,"[642, 3296, 5956, 11762, 9748, 10291, 10226, 11148, 12670, 14707, 14795, 159245, 161137, 161974, 167352, 181123, 181324, 207268, 273593]",False
"[28, 12, 14, 18]",9334,en,"In ancient Egypt, peasant Mathayus is hired to exact revenge on the powerful Memnon and the sorceress Cassandra, who are ready to overtake Balthazar's village. Amid betrayals, thieves, abductions and more, Mathayus strives to bring justice to his complicated world.",/aITIsX20tACn6jgtyDcCYpRT216.jpg,2002-04-18,The Scorpion King,"[1160, 1530, 2343, 9725, 9675, 10141, 14946, 15285, 18034, 157894, 168297, 192913, 219404, 234213, 251513]",False
"[53, 18, 9648]",9741,en,"An ordinary man makes an extraordinary discovery when a train accident leaves his fellow passengers dead — and him unscathed. The answer to this mystery could lie with the mysterious Elijah Price, a man who suffers from a disease that renders his bones as fragile as glass.",/mLuehrGLiK5zFCyRmDDOH6gbfPf.jpg,2000-11-22,Unbreakable,"[276, 970, 5809, 9715, 4619, 8872, 33637, 162735, 240119]",False
"[18, 53]",628922,en,"A young paramedic is paired with a seasoned partner on the night shift in New York revealing a city in crisis. Discovering the chaos firsthand, he is tested with the ethical ambiguity that can be the difference between life and death.",/lYXbekqKC3sMLOyb2r5KixkGny1.jpg,2024-03-28,Asphalt City,"[242, 818, 2754, 14964, 41603, 258786]",False
[27],6466,en,"Freddy enlists Jason to kill on his behalf on Elm Street, after realizing that he can't haunt dreams because people no longer fear him.",/ffoBCQ7y63Tvo48HsJqr1XOiqiV.jpg,2003-08-15,Freddy vs. Jason,"[586, 4426, 6259, 9720, 9826, 10776, 10089, 10714, 12339, 14676, 161794, 256183]",False
"[28, 878]",634429,ja,"The Japanese government sets up a special task force to fight the giant creatures suddenly appearing across the country. Soon, the squad unexpectedly meets a giant silver humanoid who starts appearing every time a space monster attacks!",/8e4WjXrOY7WH94jlhBeoYCYUVwj.jpg,2022-05-13,Shin Ultraman,"[9715, 11100, 9951, 14909, 161184, 161791, 266698, 281450, 291531, 314605, 317204]",False
"[10402, 35]",6279,en,"Deloris Van Cartier is again asked to don the nun's habit to help a run-down Catholic school, presided over by Mother Superior. And if trying to reach out to a class full of uninterested students wasn't bad enough, the sisters discover that the school is due to be closed by the unscrupulous chief of a local authority.",/dlkBp5S6Ei5f54031rAhyb4IwML.jpg,1993-12-09,Sister Act 2: Back in the Habit,"[745, 2470, 6383, 10810, 12990, 34124, 34125, 41592, 157722, 163242, 191451, 206837, 228598]",False
"[16, 10751, 12, 35]",151960,en,"Dusty is a cropdusting plane who dreams of competing in a famous aerial race. The problem? He is hopelessly afraid of heights. With the support of his mentor Skipper and a host of new friends, Dusty sets off to make his dreams come true.",/i2xgU0y0p77WTrB0oIkbpdaWq8R.jpg,2013-08-09,Planes,"[548, 6075, 271, 4613, 8086, 11477, 9878, 168277, 209386, 240461]",False
"[27, 53]",393345,en,"Confined to an asylum for the criminally insane for the past four years, Nica is wrongly convinced that she, not Chucky, murdered her entire family... until a string of grisly deaths occur after her psychiatrist introduces a new group therapy tool -- a ""Good Guy"" doll.",/r5JUiMYfatwYeDkxkLWYUx5GIjY.jpg,2017-10-12,Cult of Chucky,"[3392, 9707, 11857, 10603, 10714, 12339, 180691, 187065, 240764, 251513]",False
"[28, 12, 878]",1771,en,"During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg,2011-07-22,Captain America: The First Avenger,"[242, 2652, 9715, 1956, 11115, 5539, 9717, 10834, 15060, 41523, 179430, 180547, 242214, 253373, 273967]",False
